Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Intensidad pysent,Positivo pysennt,Negativo pysent,Nro palabras únicas,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,primera_persona_norm,tercera_persona_norm,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_norm,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,arabia,2.0,0.0,0.0,2.0,0.17076991498470306,0.07749532163143158,0.09327459335327148,-0.3691375270875858,0.1496062992125984,0.1023622047244094,0.0551181102362204,0.0866141732283464,0.0078740157480314,0.0236220472440944,0.0157480314960629,0.0551181102362204,0.8423402286715559,0.8315342881038065,0.8230804448786051,0.963855421686747,14,15.007999999999996,3.05,0.0116279069767441,5.975467088607952,0.0125244893994894,0,2.0,2.0,0.0193037974683544,0.6408450704225352,0.3591549295774648
2,arabia,3.0,0.0,0.0,2.0,0.21350569278001785,0.10811291635036469,0.10539277642965317,-0.8316594190942685,0.1621621621621621,0.0918918918918919,0.0378378378378378,0.1027027027027027,0.0432432432432432,0.0432432432432432,0.054054054054054,0.054054054054054,0.7225516117353445,0.7894874241746539,0.6621376831047642,1.0,14,12.447013487475914,3.642105263157895,0.0398936170212766,4.995224039683291,0.0917309384801644,0,0.0,17.0,0.0193729003359462,0.7252475247524752,0.2747524752475248
3,arabia,3.0,-1.0,4.0,4.0,0.5795495957136154,0.028789862990379333,0.5507597327232361,-0.44843322080921116,0.1325966850828729,0.154696132596685,0.0441988950276243,0.1325966850828729,0.0,0.005524861878453,0.0607734806629834,0.0718232044198895,0.8616250692658062,0.8241711480299848,0.8046225307914766,0.9557522123893806,16,14.711864406779666,3.185185185185185,0.0241379310344827,5.8547583567514,0.0491506692895581,0,2.0,7.0,0.014884042921426,0.5283018867924528,0.4716981132075472
4,arabia,3.0,-1.0,5.0,5.0,0.8682468901388347,0.007015622686594725,0.86123126745224,0.5224747005079712,0.1662995594713656,0.1277533039647577,0.0473568281938326,0.0814977973568281,0.0198237885462555,0.0198237885462555,0.0385462555066079,0.0627753303964757,0.9427941948286226,0.8579231311262671,0.8356864096923634,1.0,43,14.393151278716946,4.510263929618769,0.0239596469104665,4.529495161354024,0.0661994639397897,3,18.5,65.0,0.0066327410729687,0.8096823770491803,0.19031762295081966
5,arabia,2.0,-1.0,3.0,3.0,0.6275932118296623,0.05258529633283615,0.5750079154968262,-0.5080792024091124,0.1744680851063829,0.1063829787234042,0.0595744680851063,0.0893617021276595,0.0042553191489361,0.0170212765957446,0.051063829787234,0.0638297872340425,0.8198357753498217,0.7587836954984629,0.7076339632078821,0.9927007299270072,26,15.263513513513512,3.25,0.0210727969348659,5.457414264755019,0.0582487104127505,0,6.0,14.0,0.012037037037037,0.6930970149253731,0.3069029850746269
6,arabia,2.0,0.0,2.0,2.0,0.4141070945188403,0.009061972610652447,0.40504512190818787,-1.3421940435390376,0.1729323308270676,0.1428571428571428,0.0225563909774436,0.0526315789473684,0.0225563909774436,0.037593984962406,0.0451127819548872,0.0827067669172932,0.8816025174457299,0.7650486282344346,0.7267061208727594,1.0,14,13.631999999999996,3.125,0.0166666666666666,5.593991139240522,0.0260050366300366,0,2.0,3.0,0.0197784810126582,0.7233333333333334,0.27666666666666667
7,arabia,3.0,-1.0,3.0,3.0,0.8408577656373382,0.004011652432382107,0.836846113204956,-0.4872858583621349,0.1570996978851963,0.1601208459214501,0.0725075528700906,0.0845921450151057,0.0060422960725075,0.0271903323262839,0.0725075528700906,0.0271903323262839,0.9980072137615844,0.9268700627344904,0.8673331008602639,0.9743589743589745,18,11.87878787878788,3.8552631578947367,0.0245098039215686,5.052133980680267,0.0384840376356996,0,3.0,13.0,0.012765772046009,0.7255192878338279,0.2744807121661721
8,arabia,4.0,-1.0,1.0,1.0,0.6444454323500395,0.6262285113334656,0.018216921016573906,0.5063600803845193,0.1397379912663755,0.1615720524017467,0.0349344978165938,0.0917030567685589,0.0043668122270742,0.0393013100436681,0.0393013100436681,0.0436681222707423,0.7783256536227704,0.7903381726598573,0.775983167678953,1.0,17,13.844660194174754,3.582608695652174,0.0365853658536585,5.055190360874756,0.0390982327100916,0,2.0,7.0,0.0157131960335621,0.7587548638132295,0.24124513618677043
9,arabia,2.0,-1.0,3.0,3.0,0.20667374227195978,0.01454950962215662,0.19212423264980316,-0.477283320503755,0.1786600496277915,0.1389578163771712,0.0496277915632754,0.0694789081885856,0.0049627791563275,0.0496277915632754,0.0397022332506203,0.0545905707196029,0.8059188129831943,0.8544753781109814,0.73821988687465,0.9896907216494846,27,16.010840108401084,3.8229166666666665,0.0265804597701149,5.067121775053084,0.0370425453333587,0,5.0,14.0,0.0100076352530541,0.6935294117647058,0.3064705882352941
10,arabia,3.0,-1.0,4.0,4.0,0.20552296191453934,0.05299486964941025,0.1525280922651291,1.3322823886336361,0.1440576230492196,0.1260504201680672,0.0540216086434573,0.0912364945978391,0.0228091236494597,0.0204081632653061,0.0264105642256902,0.0672268907563025,0.9804586219502972,0.9974308131729585,0.9264708270157718,1.0,38,13.04351585014409,4.434504792332269,0.0280922431865828,4.531787283140664,0.0556996203771404,1,13.5,53.333333333333336,0.0071065781928401,0.6865269461077844,0.3134730538922156
11,arabia,2.0,0.0,3.0,3.0,0.1955299973487854,0.04971770942211151,0.1458122879266739,-0.5528805077909661,0.1265306122448979,0.1265306122448979,0.0489795918367346,0.1346938775510204,0.0081632653061224,0.0326530612244898,0.0530612244897959,0.0326530612244898,0.762333847618767,0.7774105597156441,0.8330224359264222,0.992063492063492,19,14.04867256637168,3.6,0.0337837837837837,5.1218716909314495,0.0587339494615619,0,4.0,14.0,0.014516129032258,0.6103773584905661,0.389622641509434
12,arabia,3.0,0.0,3.0,3.0,0.3486235477030277,0.049766991287469864,0.29885655641555786,-0.8216123613583225,0.0747663551401869,0.1495327102803738,0.0654205607476635,0.0934579439252336,0.0093457943925233,0.0841121495327102,0.0186915887850467,0.0560747663551401,0.9289374585332932,0.96741724808307,0.807952561415615,0.9827586206896552,10,15.760869565217387,3.192982456140351,0.032258064516129,5.480444090298195,0.0476921470342522,0,0.0,2.0,0.0285087719298245,0.6276223776223776,0.3723776223776224
13,arabia,3.0,0.0,2.0,2.0,0.2903103902935982,0.06317100673913956,0.22713938355445862,0.4630522922710076,0.1530249110320284,0.1316725978647686,0.0498220640569395,0.092526690391459,0.0142348754448398,0.0391459074733096,0.0711743772241993,0.0604982206405693,0.9779793501192564,0.9306020859902157,0.9048883824256904,0.9929078014184396,21,13.925925925925926,3.4571428571428573,0.0181818181818181,5.275684848946098,0.0418263309937232,1,4.5,13.333333333333334,0.0124357656731757,0.8204113924050633,0.17958860759493672
14,arabia,3.0,-1.0,3.0,3.0,0.2965540923178196,0.0480136014521122,0.2485404908657074,-0.128975148563335,0.0930232558139534,0.1744186046511628,0.0406976744186046,0.1104651162790697,0.0116279069767441,0.0290697674418604,0.0581395348837209,0.0581395348837209,0.8736591227325825,0.8640175484203972,0.8947410029699354,0.9801980198019802,16,14.32924335378323,3.2525252525252526,0.0222222222222222,5.464885784517838,0.0353924966095054,1,3.5,5.333333333333333,0.0165945165945165,0.5036945812807881,0.4963054187192118
15,arabia,3.0,0.0,2.0,2.0,0.3132901545614004,0.02155364118516445,0.29173651337623596,-0.20079977707684998,0.1646586345381526,0.1405622489959839,0.0321285140562249,0.0883534136546184,0.036144578313253,0.0040160642570281,0.036144578313253,0.0562248995983935,1.0663795946742245,0.9679756989417492,0.9973295330228048,0.9913793103448276,18,15.550239234449762,3.617391304347826,0.0197628458498023,5.256125804421621,0.0514949353951911,2,5.0,14.666666666666666,0.0158657513348588,0.9241803278688525,0.07581967213114754
16,arabia,2.0,-1.0,5.0,5.0,0.4351239502429962,0.3331470787525177,0.10197687149047852,0.7042952122737638,0.1392405063291139,0.1223628691983122,0.0632911392405063,0.0590717299578059,0.0295358649789029,0.0210970464135021,0.0253164556962025,0.0632911392405063,0.9943968911853752,1.011554653940326,1.038746518808236,0.9923076923076924,21,14.735496558505409,3.488372093023256,0.029090909090909,5.364004927377903,0.038765798724759,0,1.0,9.0,0.013626453488372,0.6774475524475524,0.32255244755244755
17,arabia,2.0,0.0,2.0,2.0,0.28548410534858704,0.22410720586776733,0.0613768994808197,-0.8594809821104473,0.1601423487544484,0.1316725978647686,0.0355871886120996,0.1316725978647686,0.0035587188612099,0.0177935943060498,0.0498220640569395,0.0427046263345195,0.799882246835817,0.7913857643557546,0.8111047580757094,0.9924242424242424,19,13.37549407114625,3.84732824427481,0.0363636363636363,5.119261011142806,0.0394211419167379,1,6.5,13.333333333333334,0.0147974163241338,0.5673400673400674,0.43265993265993263
18,arabia,1.0,1.0,2.0,2.0,0.2080982606858015,0.02472241036593914,0.18337585031986237,-0.7695781671971994,0.1511936339522546,0.1061007957559681,0.039787798408488,0.0848806366047745,0.0212201591511936,0.0079575596816976,0.0371352785145888,0.0663129973474801,1.0229642915323396,1.0084254438810376,1.0211123513001332,1.0,22,12.30980392156863,4.08,0.0300207039337474,4.771089894869306,0.039448504744774,0,8.0,15.0,0.0136912751677852,0.4426328502415459,0.5573671497584541
19,arabia,1.0,0.0,1.0,1.0,0.8071066788397729,0.00765681779012084,0.7994498610496521,-0.9727480127010555,0.064516129032258,0.1774193548387097,0.032258064516129,0.1290322580645161,0.0,0.0,0.0161290322580645,0.032258064516129,0.9998549676338894,0.9526597076882616,1.0314780997961386,0.9761904761904762,10,15.422131147540982,2.926829268292683,0.046875,5.949195321871221,0.0323355506282335,0,1.0,2.0,0.0365853658536585,0.43670886075949367,0.5632911392405063
20,arabia,3.0,-1.0,3.0,3.0,0.9455521651543677,0.004992301110178232,0.9405598640441895,-0.5626047591264085,0.1785714285714285,0.1326530612244898,0.0561224489795918,0.1173469387755102,0.0,0.0153061224489795,0.0459183673469387,0.0612244897959183,0.7657991345508762,0.7568144581188965,0.820001047008486,1.0,17,18.005376344086017,3.206896551724138,0.0161290322580645,6.014468975189698,0.0424162846956964,0,4.0,7.0,0.0139430284857571,0.8641078838174274,0.1358921161825726
21,arabia,1.0,0.0,1.0,1.0,0.7898166012018919,0.009508056566119194,0.7803085446357727,-1.1417254140137465,0.1320754716981132,0.1069182389937107,0.0440251572327044,0.1509433962264151,0.0,0.0314465408805031,0.0251572327044025,0.050314465408805,0.941550045570718,0.9889039388095044,0.9637386176079266,0.9767441860465116,14,13.947019867549669,3.5476190476190474,0.0454545454545454,5.056056297090109,0.0518102064057946,0,1.0,10.0,0.0213711990820424,0.4375,0.5625
22,arabia,5.0,-1.0,2.0,2.0,0.1504482850432396,0.1030203327536583,0.0474279522895813,-0.6872956252113417,0.2022471910112359,0.1123595505617977,0.0580524344569288,0.0823970037453183,0.0168539325842696,0.0205992509363295,0.0224719101123595,0.048689138576779,0.9003278978210423,0.8658240023275847,0.8657136613545116,0.9913419913419912,32,12.246315789473682,4.131004366812227,0.0158061116965226,4.7656869712015055,0.0382771027122967,5,10.5,27.666666666666668,0.0090592201026583,0.7085561497326203,0.2914438502673797
23,arabia,3.0,0.0,2.0,2.0,0.5980846453458071,0.016760366037487984,0.5813242793083191,0.18519881093773558,0.1407407407407407,0.1333333333333333,0.0222222222222222,0.0962962962962963,0.0,0.0222222222222222,0.0444444444444444,0.0703703703703703,0.90396283660056,0.911218023360854,0.935738358152704,0.9915254237288136,18,14.696035242290746,3.8632478632478633,0.0444444444444444,4.806310846421641,0.0667166262975629,0,4.0,17.0,0.0166519304450338,0.850418410041841,0.14958158995815898
24,arabia,3.0,1.0,4.0,4.0,0.45312561094760895,0.026478245854377747,0.4266473650932312,-0.26736062139821976,0.1576923076923077,0.1384615384615384,0.0346153846153846,0.1076923076923077,0.0,0.0153846153846153,0.0423076923076923,0.0692307692307692,1.0148393782450371,0.980090939003342,0.9441251154757072,1.0,20,16.432653061224492,3.333333333333333,0.0145985401459854,5.771251704484067,0.0306995742019751,0,0.0,7.0,0.0114155251141552,0.6941489361702128,0.3058510638297872
25,arabia,2.0,0.0,1.0,1.0,0.23147056996822357,0.07297161221504211,0.15849895775318146,-1.111031109306597,0.106060606060606,0.1262626262626262,0.0353535353535353,0.0909090909090909,0.005050505050505,0.0101010101010101,0.0454545454545454,0.0505050505050505,1.084458190990478,1.1216939217986586,1.099646180473135,0.981132075471698,18,12.375,3.5,0.0231481481481481,5.106434372666062,0.0227095757116756,0,4.0,3.0,0.0169902912621359,0.7155612244897959,0.2844387755102041
26,arabia,4.0,0.0,4.0,4.0,0.16512765735387802,0.08276740461587906,0.08236025273799896,1.357042915399861,0.1571428571428571,0.1363636363636363,0.0441558441558441,0.0753246753246753,0.0077922077922077,0.0246753246753246,0.0311688311688311,0.0714285714285714,0.9752800205868882,0.936745800641528,0.9487733886677324,0.993127147766323,35,14.64285714285714,4.588235294117647,0.0265882352941176,4.451984739156562,0.0615647692991937,0,13.0,68.0,0.0079656862745098,0.6995530012771393,0.3004469987228608
27,arabia,1.0,0.0,1.0,1.0,0.8398681737016886,0.0037921525072306395,0.836076021194458,-0.5786913866044946,0.1383647798742138,0.1540880503144654,0.0188679245283018,0.1163522012578616,0.0157232704402515,0.0157232704402515,0.050314465408805,0.0786163522012578,1.124612451759975,1.0993690246409742,1.0405838230343205,0.9928571428571428,19,15.06666666666667,3.870503597122302,0.0259562841530054,5.2299561513138615,0.0601334859282276,0,1.0,17.0,0.0140235637576895,0.450530035335689,0.549469964664311
28,arabia,4.0,0.0,3.0,3.0,0.572912834584713,0.02390863746404648,0.5490041971206665,0.2620417706846642,0.1377118644067796,0.1207627118644067,0.0572033898305084,0.1059322033898305,0.0148305084745762,0.010593220338983,0.0783898305084745,0.0572033898305084,0.909715600249598,0.8758405770853261,0.8344784556549135,0.9945054945054944,27,13.549118387909315,4.375690607734807,0.0495495495495495,4.80076830448746,0.0574132281716472,3,12.5,27.0,0.0121546961325966,0.778046421663443,0.22195357833655707
29,arabia,2.0,-1.0,3.0,3.0,0.8515813341364264,0.004587887786328793,0.8469934463500977,-0.7301619151763586,0.18562874251497,0.1317365269461078,0.0179640718562874,0.1077844311377245,0.0179640718562874,0.0119760479041916,0.029940119760479,0.0778443113772455,1.0178114071434354,0.9812530891590104,0.9920819648659244,1.0,16,17.73006134969325,3.046728971962617,0.0120967741935483,6.254833456479996,0.0197121414411134,0,1.0,1.0,0.0143713630752953,0.6980337078651685,0.30196629213483145
30,arabia,5.0,-1.0,4.0,4.0,0.35340744256973267,0.0315605103969574,0.32184693217277527,0.8814715274222119,0.1604010025062656,0.1328320802005012,0.0451127819548872,0.1052631578947368,0.0100250626566416,0.0025062656641604,0.0526315789473684,0.0776942355889724,1.0111584849210693,0.9961020293255972,0.9786897969266818,1.0,22,11.561959654178672,3.834254143646409,0.0169902912621359,4.813463432066,0.0438738344809227,0,4.0,17.0,0.0106507059545733,0.75,0.25
