Sujetos,CondiciÃ³n,Detalles internos norm,Detalles externos norm
1,antesdevenir,0.5971074380165289,0.40289256198347106
2,antesdevenir,0.5907172995780591,0.4092827004219409
3,antesdevenir,0.7768987341772152,0.2231012658227848
4,antesdevenir,0.5804115853658537,0.41958841463414637
5,antesdevenir,0.6387931034482759,0.3612068965517241
6,antesdevenir,0.7016632016632016,0.2983367983367983
7,antesdevenir,0.6792452830188679,0.32075471698113206
8,antesdevenir,0.7205882352941176,0.27941176470588236
9,antesdevenir,0.7365470852017937,0.26345291479820626
10,antesdevenir,0.8164556962025317,0.18354430379746836
11,antesdevenir,0.4198717948717949,0.5801282051282052
12,antesdevenir,0.7980769230769231,0.20192307692307693
13,antesdevenir,0.4963768115942029,0.5036231884057971
14,antesdevenir,0.6678321678321678,0.3321678321678322
15,antesdevenir,0.6540880503144654,0.34591194968553457
16,antesdevenir,0.8298076923076924,0.1701923076923077
17,antesdevenir,0.6242632612966601,0.3757367387033399
18,antesdevenir,0.4735663082437276,0.5264336917562724
19,antesdevenir,0.5,0.5
20,antesdevenir,0.5598591549295775,0.44014084507042256
21,antesdevenir,0.5604265402843602,0.4395734597156398
22,antesdevenir,0.7965976331360947,0.20340236686390534
23,antesdevenir,0.7178571428571429,0.28214285714285714
24,antesdevenir,0.7914438502673797,0.20855614973262032
25,antesdevenir,0.7631578947368421,0.23684210526315788
26,antesdevenir,0.694777397260274,0.305222602739726
27,antesdevenir,0.4943181818181818,0.5056818181818182
28,antesdevenir,0.7908950617283951,0.20910493827160495
29,antesdevenir,0.6398467432950191,0.36015325670498083
30,antesdevenir,0.5521978021978022,0.4478021978021978
31,antesdevenir,0.6672354948805461,0.33276450511945393
32,antesdevenir,0.8095238095238095,0.19047619047619047
33,antesdevenir,0.7442396313364056,0.2557603686635945
34,antesdevenir,0.5063451776649747,0.4936548223350254
35,antesdevenir,0.5513059701492538,0.44869402985074625
36,antesdevenir,0.5557065217391305,0.44429347826086957
37,antesdevenir,0.40625,0.59375
38,antesdevenir,0.736046511627907,0.26395348837209304
39,antesdevenir,0.4833715596330275,0.5166284403669725
40,antesdevenir,0.6566317626527051,0.34336823734729494
41,antesdevenir,0.626984126984127,0.373015873015873
42,antesdevenir,0.585,0.415
43,antesdevenir,0.6958128078817734,0.3041871921182266
44,antesdevenir,0.6535904255319149,0.3464095744680851
45,antesdevenir,0.553680981595092,0.44631901840490795
46,antesdevenir,0.7032258064516129,0.2967741935483871
47,antesdevenir,0.6831797235023042,0.31682027649769584
48,antesdevenir,0.8537735849056604,0.14622641509433962
49,antesdevenir,0.507177033492823,0.49282296650717705
50,antesdevenir,0.7418154761904762,0.25818452380952384
51,antesdevenir,0.4476744186046512,0.5523255813953488
52,antesdevenir,0.5762032085561497,0.42379679144385024
53,antesdevenir,0.6932565789473685,0.3067434210526316
54,antesdevenir,0.5959409594095941,0.4040590405904059
55,antesdevenir,0.32684283727399166,0.6731571627260083
56,antesdevenir,0.8413978494623656,0.1586021505376344
57,antesdevenir,0.46551724137931033,0.5344827586206896
58,antesdevenir,0.21794871794871795,0.782051282051282
59,antesdevenir,0.775709219858156,0.22429078014184398
60,antesdevenir,0.5104938271604939,0.48950617283950615
61,antesdevenir,0.8075539568345323,0.19244604316546762
62,antesdevenir,0.768,0.232
63,antesdevenir,0.40148698884758366,0.5985130111524164
64,antesdevenir,0.7050092764378478,0.2949907235621521
65,antesdevenir,0.5592948717948718,0.4407051282051282
